name, value, description 
SIMPLE, True,  
BITPIX, -32,  
NAXIS, 2,  
NAXIS1, 913,  
NAXIS2, 941,  
EXTEND, True, Tables following main image 
BLOCKED, True, Tape may be blocked 
OBJECT, cvndwA, Source name 
TELESCOP, ,  
INSTRUME, 1:1 f/8,  
OBSERVER, deidre,  
DATE-OBS, 06-0-5--20, Obs start date YYYY-MM-DD 
DATE-MAP, 2009-12-29, Last processing date YYYY-MM-DD 
BSCALE, 1.0, REAL = TAPE * BSCALE + BZERO 
BZERO, 0.0,  
BUNIT, , Units of flux 
EQUINOX, 2000.0, Epoch of RA DEC 
COMMENT, / IEEE not-a-number used for blanked f.p. pixels,  
DATAMAX, 56347.72266, Maximum pixel value 
DATAMIN, 1263.650391, Minimum pixel value 
CTYPE1, RA---TAN,  
CRVAL1, 189.65693199,  
CDELT1, -0.000314899662,  
CRPIX1, 457.0,  
CROTA1, 0.0,  
CTYPE2, DEC--TAN,  
CRVAL2, 32.7603806435,  
CDELT2, 0.0003148095857,  
CRPIX2, 471.0,  
CROTA2, 0.0,  
HISTORY, --------------------------------------------------------------------,  
HISTORY, /Begin "HISTORY" information found in fits tape header by IMLOD,  
HISTORY, EXTEND  =                    F / File may contain extensions,  
HISTORY, IRAF-TLM= '16:43:00 (05/09/2000)' / Time of last modification,  
HISTORY, IRAF-MAX=           4.963100E4  /  DATA MAX,  
HISTORY, IRAF-MIN=           1.450000E2  /  DATA MIN,  
HISTORY, OBSERVAT= 'Hall 1.07m          / origin of data,  
HISTORY, ELEVATIO=                 2198 / observatory elevation (m),  
HISTORY, DETECTOR= 'Low Tek 2kx2k    '  / detector type,  
HISTORY, DETGAIN =                   13 / detector gain,  
HISTORY, CCDSUM  = ' 2 2    '           / on chip summation (xy),  
HISTORY, CCDFNAME= '000506.035'         / original ccd disk file name,  
HISTORY, EXPTIME =              00600.0 / actual integration time (seconds),  
HISTORY, IMAGETYP= 'object  '           / objectdarkbiasflatetc.,  
HISTORY, RA      = '12:38:40.00'         /  right ascension (telescope),  
HISTORY, DEC     = '32:46:03.00'         /  declination (telescope),  
HISTORY, AIRMASS =                 1.27 / mean airmass,  
HISTORY, UT      = ' 7:22:56.00'         /  universal time at beginning,  
HISTORY, DARKTIME=                  600 / time before CCD readout,  
HISTORY, FILTNAME= ' V     '                / filter name,  
HISTORY, FILTERS =                    3 / filter type,  
HISTORY, WCSDIM  =                    2,  
HISTORY, CD1_1   =                   1.,  
HISTORY, CD2_2   =                  -1.,  
HISTORY, LTM1_1  =                   1.,  
HISTORY, LTM2_2  =                  -1.,  
HISTORY, WAT0_001= 'system=image',  
HISTORY, WAT1_001= 'label=pixel',  
HISTORY, WAT2_001= 'label=pixel',  
HISTORY, TRIM    = 'May  6  1:00 Trim data section is [20:100020:1000]',  
HISTORY, OVERSCAN= 'May  6  1:00 Overscan section is [1030:105020:1000] with mea,  
HISTORY, CONTINUED:n=154.5',  
HISTORY, FLATCOR = 'May  6  1:00 Flat field image is flatn3v with scale=4410.954',  
HISTORY, CCDSEC  = '[20:100020:1000]',  
HISTORY, LTV1    =    -47.8599998950958,  
HISTORY, LTV2    =     961.340000152588,  
HISTORY, CCDPROC = 'May  6  1:00 CCD processing done',  
HISTORY, New copy of 506.035.imh,  
HISTORY, New copy of 506.035[*-*],  
HISTORY, NCOMBINE=                    9,  
HISTORY, /END FITS tape header "HISTORY" information,  
HISTORY, --------------------------------------------------------------------,  
HISTORY, IMLOD OUTNAME =',  
HISTORY, IMLOD OUTSEQ =    0     INTAPE = 1     OUTDISK= 3,  
HISTORY, IMLOD INFILE = '/ta/ubv/fin/cvnidwavcut.fits                    ',  
HISTORY, IMLOD RELEASE = '31DEC08',  
HISTORY, XTRAN RELEASE ='31DEC08 '  /********* Start 29-DEC-2009   16:36:25,  
HISTORY, XTRAN INNAME='CVNIDWAV    '   INCLASS='OPT   ',  
HISTORY, XTRAN INSEQ=    1   INDISK=  3,  
HISTORY, XTRAN OUTNAME='CVNIDWAV    '   OUTCLASS='XTRAN ',  
HISTORY, XTRAN OUTSEQ=    1   OUTDISK=  3,  
HISTORY, XTRAN BLC =     1     1     1     1     1     1     1,  
HISTORY, XTRAN TRC =     1     1     1     1     1     1     1,  
HISTORY, XTRAN / NUMBER OF PARAMETERS FIT = 3,  
HISTORY, XTRAN / ROTATION ANGLE =  -0.512 DEGREES,  
HISTORY, XTRAN INFILE = '/ta/astrom/CVNIDWAV.STARS',  
HISTORY, XTRAN A(1) =  3.31014D+00    / X_fit parameter,  
HISTORY, XTRAN A(2) = -5.02935D-08    / X_fit parameter,  
HISTORY, XTRAN A(3) = -5.49583D-06    / X_fit parameter,  
HISTORY, XTRAN A(4) =  0.00000D+00    / X_fit parameter,  
HISTORY, XTRAN A(5) =  0.00000D+00    / X_fit parameter,  
HISTORY, XTRAN A(6) =  0.00000D+00    / X_fit parameter,  
HISTORY, XTRAN B(1) =  5.71777D-01    / Y_fit parameter,  
HISTORY, XTRAN B(2) =  5.49423D-06    / Y_fit parameter,  
HISTORY, XTRAN B(3) = -4.78955D-08    / Y_fit parameter,  
HISTORY, XTRAN B(4) =  0.00000D+00    / Y_fit parameter,  
HISTORY, XTRAN B(5) =  0.00000D+00    / Y_fit parameter,  
HISTORY, XTRAN B(6) =  0.00000D+00    / Y_fit parameter,  
ORIGIN, AIPSrana         DAHOFFICE            31DEC08,  
DATE, 2009-12-29, File written on Greenwich yyyy-mm-dd 
HISTORY, AIPS   IMNAME='CVNIDWAV    ' IMCLASS='XTRAN ' IMSEQ=   1     /,  
HISTORY, AIPS   USERNO=    2            /,  
COMMENT,   FITS (Flexible Image Transport System) format is defined in 'Astronomy,  
COMMENT,   and Astrophysics' volume 376 page 359; bibcode: 2001A&A...376..359H,  
